,Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Neighborhood_Quality,House_Price
0,1360,2,1,1981,0,5,262382.8522740563
1,4272,3,3,2016,1,6,985260.854490162
2,3592,1,2,2016,0,9,777977.3901185812
3,966,1,2,1977,1,8,229698.9186636115
4,4926,2,1,1993,0,8,1041740.8589249004
5,3944,5,3,1990,2,8,879796.9835223783
6,3671,1,2,2012,0,1,814427.8614089885
7,3419,1,1,1972,1,1,703413.1109446795
8,630,3,3,1997,1,8,173875.03721558454
9,2185,4,2,1981,2,5,504176.5060593679
10,1269,2,2,2006,1,9,335332.59275293903
11,2891,2,3,1982,0,2,635097.3959198
12,2933,5,3,1973,2,9,701133.8041471172
13,1684,5,3,1988,1,8,440726.2848162878
14,3885,2,3,1983,1,9,838719.430503504
15,4617,5,1,2005,0,4,1019192.6613592046
16,3404,3,3,1977,0,1,735850.8123421574
17,974,2,2,1986,2,1,234261.64997473892
18,1582,5,2,1956,1,5,396246.3588887452
19,3058,2,1,2017,0,2,672852.0519810001
20,2547,4,2,1986,2,8,586086.5685389101
21,3247,1,2,2005,1,10,740174.0146550778
22,1475,2,3,2014,1,5,370167.09090271546
23,2306,1,2,2014,2,5,530824.1967752124
24,689,5,1,1996,2,2,227515.3002879812
25,3234,1,3,1969,0,7,652166.1423658864
26,3505,2,3,1968,1,8,745670.6371477235
27,2399,4,1,1978,1,10,513161.95119306416
28,1767,5,3,2009,1,1,432357.9061027443
29,2028,2,3,1967,2,2,434165.8966340506
30,3702,5,1,1984,0,10,809686.201143527
31,4056,3,3,1992,1,4,883819.0911218557
32,4390,1,1,1960,2,5,912468.0479046734
33,1146,3,1,1998,1,2,281313.0614448485
34,3388,2,2,1987,0,1,705923.3148916194
35,2935,4,2,2013,1,9,656980.4604282172
36,1100,5,3,2018,0,1,318266.2771320871
37,2863,1,3,1957,0,4,582468.7977365239
38,2561,5,1,1983,1,2,541967.633559251
39,741,2,3,1997,1,4,188531.42345710637
40,2541,5,1,2005,0,8,565562.7504321395
41,3324,1,1,2014,2,8,697574.5556670319
42,3112,2,3,1980,0,9,666733.4734616925
43,1863,5,1,1953,1,5,376388.0216286443
44,1978,4,2,1999,1,7,485380.95019563066
45,3056,2,3,2018,2,3,735678.4622017285
46,1275,2,2,1979,0,10,296291.0010075069
47,4514,4,3,2008,0,4,1046315.8960136625
48,534,3,1,2016,0,10,187508.58531168045
49,3652,1,3,1994,1,9,793995.2848757812
50,2455,3,2,1953,0,10,527393.5128875901
51,2085,5,1,1975,2,10,467768.122943975
52,4443,4,3,1976,1,1,981190.782911222
53,3573,3,3,1995,1,2,750481.7169351575
